tropical,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
30,1.22E+01,232.3,3.81E+17,4.00E+00,9.30E+00,1.42E-01,1.71E-02,9.14E-01
32.6,8.52E+00,237.7,2.60E+17,4.30E+00,9.85E+00,1.17E-01,1.85E-02,8.30E-01
35,6.00E+00,243.1,1.79E+17,4.60E+00,9.70E+00,9.28E-02,2.00E-02,7.46E-01
37.5,4.26E+00,248.5,1.24E+17,4.90E+00,8.80E+00,6.69E-02,2.15E-02,6.62E-01
40,3.05E+00,254,8.70E+16,5.20E+00,7.50E+00,4.51E-02,2.33E-02,5.64E-01
42.5,2.20E+00,259.4,6.15E+16,5.50E+00,5.90E+00,2.75E-02,2.63E-02,4.61E-01
45,1.59E+00,264.8,4.35E+16,5.70E+00,4.50E+00,1.59E-02,3.06E-02,3.63E-01
47.5,1.16E+00,269.6,3.12E+16,5.90E+00,3.45E+00,9.38E-03,3.80E-02,2.77E-01
50,8.54E-01,270.2,2.29E+16,6.00E+00,2.80E+00,4.75E-03,6.25E-02,2.10E-01
55,4.56E-01,263.4,1.26E+16,6.00E+00,1.80E+00,3.00E-03,1.48E-01,1.65E-01
60,2.39E-01,253.1,6.84E+15,6.00E+00,1.10E+00,2.07E-03,2.93E-01,1.50E-01
65,1.21E-01,236,3.72E+15,5.40E+00,6.50E-01,1.51E-03,5.59E-01,1.50E-01
70,5.80E-02,218.9,1.92E+15,4.50E+00,3.00E-01,1.15E-03,1.08E+00,1.50E-01
75,2.60E-02,201.8,9.34E+14,3.30E+00,1.80E-01,8.89E-04,1.90E+00,1.50E-01
80,1.10E-02,184.8,4.31E+14,2.10E+00,3.30E-01,7.06E-04,2.96E+00,1.50E-01
85,4.40E-03,177.1,1.80E+14,1.30E+00,5.00E-01,5.72E-04,4.53E+00,1.50E-01
90,1.72E-03,177,7.04E+13,8.50E-01,5.20E-01,4.71E-04,6.86E+00,1.40E-01
95,6.88E-04,184.3,2.71E+13,5.40E-01,5.00E-01,3.93E-04,1.05E+01,1.30E-01
100,2.89E-04,190.7,1.10E+13,4.00E-01,4.00E-01,3.32E-04,1.71E+01,1.20E-01
105,1.30E-04,212,4.45E+12,3.40E-01,2.00E-01,2.84E-04,2.47E+01,1.10E-01
110,6.47E-05,241.6,1.94E+12,2.80E-01,5.00E-02,2.44E-04,3.36E+01,9.50E-02
115,3.60E-05,299.7,8.71E+11,2.40E-01,5.00E-03,2.12E-04,4.15E+01,6.00E-02
120,2.25E-05,380,4.23E+11,2.00E-01,5.00E-04,1.85E-04,5.00E+01,3.00E-02
